name+A1:Y1,elevation,geometry,UTM_Easting,UTM_Northing,Species name (scientific),Common name (local),Phenology,Type of stem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C,Wood density (g/cm3),Wood density (kg/m3),Tree Height,DBH,Biomass,Carbon
B01,1540.708,POINT (37.003249 -1.087438),277806.1039,9879731.782,Acacia dealbata,Silver wattle,Mature,straight,0.8,,,,,,,,,,,0.8,0.65,650,10,0.254647909,20.38028943,9.57873603
B02,1540.853,POINT (37.003774 -1.088269),277864.6093,9879639.914,Ulmus crassifiola,Cedar elm,Mature,Forked,0.6049,0.582,,,,,,,,,,0.839421235,0.6,600,15.7,0.267196078,32.1556878,15.11317327
B03,1532.993,POINT (37.00672 -1.092159),278192.8514,9879209.905,Psidium guajava,Common guava,Mature,straight,0.61,,,,,,,,,,,0.61,0.674,674,7.2,0.194169031,9.02542521,4.241949849
B04,1530.394,POINT (37.007743 -1.093474),278306.8309,9879064.545,Acacia dealbata,Silver wattle,Mature,straight,0.73,,,,,,,,,,,0.73,0.65,650,8.4,0.232366217,14.37743785,6.75739579
B05,,POINT (37.008166 -1.093841),278353.9473,9879023.987,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.18,,,,,,,,,,,1.18,0.77,770,13.7,0.375605666,69.81410208,32.81262798
B06,1532.805,POINT (37.008841 -1.09346),278429.062,9879066.174,Prosopis laevigata,Smooth mesquite,Mature,straight,1,,,,,,,,,,,1,0.85,850,16.7,0.318309886,67.52419311,31.73637076
B07,1533.198,POINT (37.009205 -1.093191),278469.5636,9879095.952,Caesuarina equisetifolia,Whistling pine,Mature,Forked,1.7,0.6,0.63,0.67,,,,,,,,2.023808291,0.83,830,30.7,0.644198187,473.2440268,222.4246926
B08,1537.923,POINT (37.010016 -1.092566),278559.8003,9879165.135,Corymbia citriodora,Lemon-scented gum,Mature,straight,2.58,,,,,,,,,,,2.58,0.756,756,24.1,0.821239506,547.9523931,257.5376248
B09,1537.269,POINT (37.011286 -1.092428),278701.1696,9879180.491,Corymbia citriodora,Lemon-scented gum,Mature,straight,2.4,,,,,,,,,,,2.4,0.756,756,28.5,0.763943727,560.4197811,263.3972971
B10,1538.376,POINT (37.01043 -1.091504),278605.81,9879282.62,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.22,,,,,,,,,,,1.22,0.756,756,35.4,0.388338061,184.8477215,86.87842911
B11,1540.053,POINT (37.009708 -1.091806),278525.4573,9879249.167,Albizia julibrissin,Persian silk tree,Mature,Forked,0.67,0.23,,,,,,,,,,0.70837843,0.55,550,5.5,0.225483857,7.618704792,3.580791252
B12,1536.334,POINT (37.009937 -1.090748),278550.8727,9879366.196,Grevillea robusta,silk oak,Mature,straight,1.3,,,,,,,,,,,1.3,0.61,610,21.2,0.413802852,102.8912395,48.35888258
